[INFO] Rekord: sel100, Lead-y: ['MLII', 'V5']
[INFO] Rekord: sele0121, Lead-y: ['V4', 'D3']
[INFO] Rekord: sele0122, Lead-y: ['V4', 'D3']
[INFO] Rekord: sele0124, Lead-y: ['V4', 'D3']
[INFO] Rekord: sele0126, Lead-y: ['V4', 'D3']
[INFO] Rekord: sele0129, Lead-y: ['D3', 'V3']
[INFO] Rekord: sele0133, Lead-y: ['D3', 'V3']
[INFO] Rekord: sele0136, Lead-y: ['D3', 'V4']
[INFO] Rekord: sele0166, Lead-y: ['V4', 'D3']
[INFO] Rekord: sele0170, Lead-y: ['V4', 'D3']
[INFO] Rekord: sele0203, Lead-y: ['CM5', 'CC5']
[INFO] Rekord: sele0210, Lead-y: ['CM5', 'CC5']
[INFO] Rekord: sele0211, Lead-y: ['CM5', 'CC5']
[INFO] Rekord: sele0303, Lead-y: ['V2-V3', 'V5']
[INFO] Rekord: sele0405, Lead-y: ['CM5', 'mod.V1']
[INFO] Rekord: sele0406, Lead-y: ['CM5', 'CC5']
[INFO] Rekord: sele0409, Lead-y: ['CM5', 'CC5']
[INFO] Rekord: sele0411, Lead-y: ['CM5', 'CC5']
[INFO] Rekord: sele0509, Lead-y: ['V1-V2', 'V4-V5']
[INFO] Rekord: sele0603, Lead-y: ['CM5', 'CM2']
[INFO] Rekord: sele0604, Lead-y: ['CM2', 'ML5']
[INFO] Rekord: sele0606, Lead-y: ['CM5', 'ML5']
[INFO] Rekord: sele0607, Lead-y: ['CM5', 'CM4']
[INFO] Rekord: sele0609, Lead-y: ['CM5', 'ML5']
[INFO] Rekord: sele0612, Lead-y: ['CM5', 'ML5']
[INFO] Rekord: sele0704, Lead-y: ['V5', 'V1']
